Programming_and_Software_Development_off,Project_Management_off,Accounting_and_Finance_off,Marketing_and_Advertising_off,Sales_and_Customer_Service_off,Human_Resources_and_Leadership_off,Graphic_Design_and_Illustration_off,Photography_and_Photo_Editing_off,Music_instruments_Composition_and_Production_off,Writing_and_Editing_off,Arts_and_Crafts_and_DIY_Projects_off,Learning_Foreign_Languages_off,Written_and_Oral_Communication_in_Various_Languages_off,Interpretation_and_Translation_off,Computer_and_Software_Application_Operation_off,Network_Administration_and_IT_Support_off,Electronics_and_Robotics_off,Web_Design_and_Development_off,Data_Analysis_and_Visualization_off,Interpersonal_Communication_off,Conflict_Resolution_and_Mediation_off,Empathy_and_Emotional_Intelligence_off,Leadership_Skills_and_Teamwork_off,Networking_and_Relationship_Management_off,Cooking_and_Baking_off,Gardening_and_Farming_off,DIY_and_Repairs_off,Driving_and_Vehicle_Maintenance_off,First_Aid_and_Life_Saving_Techniques_off,Mathematics_and_Sciences_off,History_and_Social_Sciences_off,Literature_and_Philosophy_off,Research_Methods_and_Academic_Writing_off,Academic_Reading_and_Critique_off,Time_Management_and_Organization_off,Stress_Management_and_Mindfulness_off,Financial_Planning_and_Budgeting_off,Self_Defense_and_Personal_Safety_off,Healthcare_and_Nutrition_off,Programming_and_Software_Development_dem,Project_Management_dem,Accounting_and_Finance_dem,Marketing_and_Advertising_dem,Sales_and_Customer_Service_dem,Human_Resources_and_Leadership_dem,Graphic_Design_and_Illustration_dem,Photography_and_Photo_Editing_dem,Music_instruments_Composition_and_Production_dem,Writing_and_Editing_dem,Arts_and_Crafts_and_DIY_Projects_dem,Learning_Foreign_Languages_dem,Written_and_Oral_Communication_in_Various_Languages_dem,Interpretation_and_Translation_dem,Computer_and_Software_Application_Operation_dem,Network_Administration_and_IT_Support_dem,Electronics_and_Robotics_dem,Web_Design_and_Development_dem,Data_Analysis_and_Visualization_dem,Interpersonal_Communication_dem,Conflict_Resolution_and_Mediation_dem,Empathy_and_Emotional_Intelligence_dem,Leadership_Skills_and_Teamwork_dem,Networking_and_Relationship_Management_dem,Cooking_and_Baking_dem,Gardening_and_Farming_dem,DIY_and_Repairs_dem,Driving_and_Vehicle_Maintenance_dem,First_Aid_and_Life_Saving_Techniques_dem,Mathematics_and_Sciences_dem,History_and_Social_Sciences_dem,Literature_and_Philosophy_dem,Research_Methods_and_Academic_Writing_dem,Academic_Reading_and_Critique_dem,Time_Management_and_Organization_dem,Stress_Management_and_Mindfulness_dem,Financial_Planning_and_Budgeting_dem,Self_Defense_and_Personal_Safety_dem,Healthcare_and_Nutrition_dem
Novice,Expert,Beginner,Beginner,Advanced,Expert,,,,,,,,,,,,,,Intermediate,Novice,Novice,Novice,Intermediate,Beginner,Advanced,Novice,Intermediate,Intermediate,,,,,,,,,,,Advanced,Advanced,Novice,Intermediate,Beginner,Expert,,,,,,Intermediate,Expert,Beginner,,,,,,Beginner,Beginner,Novice,Beginner,Expert,,,,,,Expert,Expert,Intermediate,Intermediate,Beginner,Expert,Advanced,Intermediate,Expert,Intermediate
,,,,,,Expert,Expert,Intermediate,Beginner,Novice,,,,,,,,,,,,,,Beginner,Novice,Beginner,Novice,Novice,,,,,,,,,,,Advanced,Expert,Expert,Intermediate,Expert,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Intermediate,Novice,Expert,Beginner
,,,,,,,,,,,,,,Novice,Advanced,Expert,Intermediate,Intermediate,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Advanced,Expert,Intermediate,Intermediate,Expert,Expert,Beginner,Expert,Advanced,,,,,,,,,Advanced,Expert,Expert,Beginner,Expert,,,,,,Advanced,Advanced,Novice,Intermediate,Intermediate,,,,,
,,,,,,Advanced,Intermediate,Novice,Novice,Novice,,,,,,,,,,,,,,Novice,Expert,Intermediate,Intermediate,Novice,,,,,,Beginner,Novice,Advanced,Novice,Intermediate,Expert,Advanced,Advanced,Expert,Expert,Expert,,,,,,,,,,,,,,Beginner,Expert,Expert,Expert,Intermediate,Beginner,Novice,Expert,Expert,Advanced,,,,,,Expert,Beginner,Novice,Advanced,Intermediate
,,,,,,,,,,,,,,,,,,,Beginner,Advanced,Novice,Novice,Expert,Intermediate,Novice,Novice,Novice,Advanced,,,,,,,,,,,Intermediate,Expert,Novice,Expert,Advanced,Intermediate,,,,,,Intermediate,Expert,Expert,Expert,Expert,Advanced,Advanced,Novice,Expert,Advanced,Advanced,Advanced,Advanced,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Intermediate,Novice,Intermediate,Expert,Intermediate,,,,,,Beginner,Novice,Beginner,Beginner,Beginner,,,,,,Novice,Novice,Intermediate,Novice,Expert,Expert,Expert,Advanced,Expert,Advanced,Expert,Novice,Advanced,Expert,Intermediate,Expert,Expert,Expert,Advanced,Beginner,Intermediate,Expert,Intermediate,Advanced,,,,,,,,,,,,,,,,Expert,Advanced,Beginner,Advanced,Novice
Beginner,Novice,Novice,Beginner,Expert,Intermediate,,,,,,Advanced,Novice,Expert,,,,,,,,,,,Novice,Novice,Beginner,Advanced,Intermediate,,,,,,,,,,,Expert,Novice,Advanced,Expert,Intermediate,Beginner,,,,,,Expert,Expert,Beginner,Expert,Expert,Intermediate,Beginner,Intermediate,,,,,,,,,,,Expert,Beginner,Novice,Expert,Advanced,,,,,
Advanced,Beginner,Novice,Novice,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Expert,Intermediate,Intermediate,Intermediate,,,,,,,,,,,,,,,,,Advanced,Expert,Advanced,,,,,,,,,,,,,,,,Expert,Beginner,Novice,Intermediate,Advanced,Expert,Advanced,Advanced,Advanced,Advanced
Novice,Expert,Novice,Beginner,Intermediate,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Beginner,Advanced,Advanced,,,,,,,,,,,,,,,,,,,Novice,Expert,Intermediate,Expert,Intermediate,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Beginner,Intermediate,Novice,Advanced,,,,,,,,,,,,Expert,Expert,Expert,Advanced,Beginner,,,,Beginner,Expert,Advanced,Expert,Novice,,,,,,Intermediate,Expert,Advanced,Expert,Beginner,,,,,,Advanced,Advanced,Advanced,Intermediate,Advanced
Beginner,Novice,Intermediate,Beginner,Intermediate,Novice,,,,,,,,,Expert,Intermediate,Beginner,Expert,Beginner,,,,,,,,,,,,,,,,Beginner,Novice,Novice,Novice,Beginner,,,,,,,Beginner,Expert,Advanced,Beginner,Intermediate,,,,Advanced,Novice,Expert,Advanced,Expert,Novice,Beginner,Beginner,Advanced,Expert,Beginner,Expert,Beginner,Intermediate,Expert,Expert,Expert,Expert,Expert,Advanced,,,,,
,,,,,,,,,,,Novice,Beginner,Novice,Expert,Advanced,Advanced,Beginner,Novice,,,,,,,,,,,Advanced,Beginner,Advanced,Novice,Beginner,,,,,,Intermediate,Expert,Intermediate,Beginner,Expert,Beginner,Advanced,Novice,Advanced,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Advanced,Intermediate,Novice,Intermediate,Advanced,,,,,,,,,,,Expert,Novice,Beginner,Novice,Expert,Novice,Expert,Intermediate,Expert,Expert,Expert,,,,,,Advanced,Expert,Advanced,Advanced,Advanced,Intermediate,Expert,Beginner,,,,,,Expert,Advanced,Expert,Intermediate,Novice,Expert,Intermediate,Expert,Advanced,Advanced,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Novice,Novice,Novice,,,,,,,,,,,,,,,,,,,,Expert,Advanced,Intermediate,Intermediate,Expert,,,,,,Expert,Intermediate,Expert,Advanced,Expert,Expert,Expert,Novice,Intermediate,Expert,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Novice,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Expert,Expert,Intermediate,Advanced
,,,,,,,,,,,Expert,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Advanced,Beginner,Expert,Intermediate,Intermediate,Expert,Novice,Expert,Expert,Expert,,,,Expert,Expert,Expert,Intermediate,Intermediate,Expert,Beginner,Expert,Advanced,Advanced,,,,,,,,,,,,,,,
,,,,,,Expert,Novice,Advanced,Intermediate,Novice,Novice,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Novice,Expert,Intermediate,Beginner,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Advanced,Novice,Expert,Novice,,,,,,,,,,,,,,,,,Expert,Expert,Advanced,Intermediate,Expert,,,,,,,,,Advanced,Advanced,Advanced,Expert,Intermediate,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Novice,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Expert,Expert,Advanced
,,,,,,,,,,,,,,,,,,,,,,,,Expert,Novice,Advanced,Beginner,Novice,,,,,,,,,,,Expert,Intermediate,Intermediate,Expert,Advanced,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Expert,Intermediate,Expert,Beginner,,,,,
,,,,,,,,,,,Novice,Expert,Advanced,,,,,,,,,,,Intermediate,Novice,Beginner,Expert,Novice,,,,,,,,,,,,,,,,,Novice,Beginner,Advanced,Advanced,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expert,Novice,Novice,Novice,Novice,Advanced,,,,,,,,,Novice,Novice,Beginner,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,,,,,,,,,Expert,Expert,Intermediate,Novice,Intermediate,Advanced,Beginner,Advanced,Novice,Intermediate,Expert,Expert,Advanced,Beginner,Novice,Intermediate,Intermediate,Novice,Intermediate,Advanced
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Intermediate,Novice,Advanced,Intermediate,Advanced,Intermediate,Novice,Expert,Novice,,,,,,,,,,,,,,,,,,,,Expert,Expert,Expert,Expert,Advanced,,,,,,,,,,,,,,,
,,,,,,,,,,,Advanced,Expert,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Expert,,,,,,Intermediate,Advanced,Expert,Intermediate,Beginner,Expert,Intermediate,Expert,Expert,Advanced,Advanced,Advanced,Advanced,Expert,Advanced,,,,,
,,,,,,Beginner,Expert,Advanced,Novice,Intermediate,,,,,,,,,,,,,,,,,,,Beginner,Novice,Intermediate,Beginner,Intermediate,,,,,,Intermediate,Beginner,Expert,Expert,Advanced,Expert,,,,,,,,,Expert,Expert,Expert,Beginner,Advanced,Expert,Expert,Expert,Beginner,Beginner,,,,,,Beginner,Intermediate,Beginner,Expert,Beginner,,,,,
,,,,,,,,,,,,,,Intermediate,Expert,Beginner,Intermediate,Advanced,,,,,,,,,,,,,,,,,,,,,Beginner,Advanced,Intermediate,Advanced,Expert,Advanced,Advanced,Expert,Advanced,Novice,Expert,,,,Intermediate,Expert,Expert,Expert,Beginner,Advanced,Expert,Intermediate,Intermediate,Novice,Advanced,Advanced,Advanced,Advanced,Expert,,,,,,,,,,
Advanced,Intermediate,Expert,Novice,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Expert,Expert,Expert,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Beginner,Expert,Expert
,,,,,,Novice,Novice,Novice,Novice,Novice,Novice,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Advanced,Expert,Advanced,Expert,Intermediate,,,,,,Intermediate,Expert,Expert,,,,,,Expert,Advanced,Expert,Expert,Advanced,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Novice,Novice,Expert,Novice,,,,,,,,,,,,Expert,Intermediate,Expert,,,,,,Advanced,Expert,Expert,Intermediate,Expert,Expert,Advanced,Advanced,Expert,Novice,,,,,,,,,,
,,,,,,,,,,,Advanced,Advanced,Beginner,Novice,Intermediate,Beginner,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Expert,Novice,Intermediate,,,,Intermediate,Expert,Expert,Intermediate,Beginner,,,,,,Intermediate,Intermediate,Intermediate,Advanced,Intermediate,Expert,Advanced,Novice,Intermediate,Advanced,Advanced,Expert,Expert,Intermediate,Intermediate
,,,,,,,,,,,,,,,,,,,Expert,Advanced,Novice,Novice,Expert,,,,,,Novice,Beginner,Novice,Novice,Intermediate,Novice,Beginner,Beginner,Intermediate,Advanced,,,,,,,Intermediate,Advanced,Intermediate,Advanced,Expert,,,,,,,,,Expert,Novice,Intermediate,Expert,Expert,,,,,,Advanced,Expert,Advanced,Expert,Advanced,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Intermediate,Expert,Advanced,,,,,,,Expert,Expert,Advanced,Beginner,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,Novice,Advanced,Expert,Novice,Intermediate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Novice,Intermediate,Beginner,Beginner,Expert,Advanced,Advanced,Advanced,Beginner,Intermediate,Intermediate,Advanced,Advanced,Advanced,Advanced,,,,,,,,,,,,,,Expert,Expert,Expert,Advanced,Beginner,Novice,Advanced,Expert,Advanced,Intermediate,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Novice,Intermediate,Advanced,Beginner,,,,,,,,,,,,Expert,Intermediate,Intermediate,,,,,,Intermediate,Novice,Advanced,Expert,Intermediate,,,,,,,,,,,,,,,
Intermediate,Advanced,Expert,Advanced,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Beginner,Advanced,Advanced,Expert,,,,,,,,,,,,,,Expert,Intermediate,Beginner,Expert,Expert,Expert,Expert,Advanced,Intermediate,Intermediate,Advanced,Expert,Beginner,Novice,Novice,Advanced,Advanced,Intermediate,Advanced,Beginner
Novice,Novice,Novice,Beginner,Novice,Novice,,,,,,,,,Advanced,Intermediate,Novice,Expert,Advanced,,,,,,,,,,,Advanced,Novice,Intermediate,Beginner,Novice,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Advanced,Beginner,Expert,Beginner,Advanced,Expert,Intermediate,Expert,,,,,,,,,,,,,,,
Advanced,Beginner,Beginner,Novice,Advanced,Intermediate,,,,,,,,,,,,,,Intermediate,Intermediate,Advanced,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,Expert,Advanced,Intermediate,Expert,Expert,Expert,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Expert,Novice,Novice,Intermediate,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Expert,Expert,Beginner,Expert,Intermediate,Novice,Beginner,Beginner,Advanced,,,,,,,,,Intermediate,Intermediate,Intermediate,Novice,Advanced,Expert,Beginner,Advanced,Advanced,Advanced,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Expert,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Beginner,Advanced,Beginner,Expert,,,,,,Expert,Intermediate,Intermediate,Novice,Advanced,,,,,,Expert,Advanced,Advanced,Advanced,Beginner
,,,,,,,,,,,Intermediate,Advanced,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Expert,Expert,Expert,Novice,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Expert,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Advanced,Intermediate,Expert,Advanced,Advanced,Advanced,Intermediate,Expert,Advanced,Beginner,,,,,,,,,Advanced,Expert,Beginner,Beginner,Advanced,,,,,,Expert,Advanced,Intermediate,Intermediate,Intermediate,Novice,Intermediate,Expert,Expert,Intermediate
,,,,,,,,,,,,,,Intermediate,Novice,Expert,Intermediate,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Advanced,,,,,,Expert,Intermediate,Advanced,Intermediate,Intermediate,,,,,,,,,,,,,,,
,,,,,,,,,,,Expert,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Advanced,Expert,Novice,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Intermediate,Novice,Beginner,Intermediate,Novice,Novice,Beginner,Novice,Beginner,Intermediate,,,,,,Beginner,Advanced,Intermediate,Beginner,Expert,,,,,,,,,,,,Advanced,Advanced,Beginner,Beginner,Advanced,,,,Advanced,Intermediate,Intermediate,Intermediate,Expert,,,,,,Expert,Intermediate,Advanced,Expert,Advanced,Expert,Expert,Expert,Expert,Advanced,Advanced,Expert,Advanced,Beginner,Intermediate
Intermediate,Beginner,Expert,Novice,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Novice,Advanced,Beginner,,,,,,,Advanced,Advanced,Intermediate,Intermediate,Intermediate,Expert,Intermediate,Expert,,,,,,,,,,,,,,,,Expert,Intermediate,Beginner,Intermediate,Advanced,Advanced,Beginner,Advanced,Expert,Intermediate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Novice,Intermediate,Novice,Expert,,,,,,Expert,Advanced,Expert,Expert,Intermediate,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginner,Novice,Novice,Beginner,Novice,Novice,,,,,,,,,,,,,,Beginner,Intermediate,Novice,Expert,Novice,Intermediate,Advanced,Beginner,Expert,Intermediate,,,,,,,,,,,,,,,,,Expert,Novice,Expert,Expert,Intermediate,,,,Expert,Intermediate,Intermediate,Advanced,Intermediate,Advanced,Intermediate,Expert,Expert,Advanced,Expert,Expert,Expert,Expert,Intermediate,Beginner,Expert,Expert,Advanced,Advanced,,,,,
